metric	value
total_reads	3966.0
explained_reads	60.0
reads_explained_fraction	0.015128593040847202
mapped_to_human_reads	402.0
mapped_to_human_fraction	0.10136157337367625
total_bases	2169245.0
explained_bases	32394.0
bases_explained_fraction	0.014933306288593497
min_query_cov	0.5
min_identity	0.8
best_identity_quantile_0.1	0.0
best_query_cov_quantile_0.1	0.0
best_identity_quantile_0.25	0.0
best_query_cov_quantile_0.25	0.0
best_identity_quantile_0.5	0.0
best_query_cov_quantile_0.5	0.0
best_identity_quantile_0.75	0.0
best_query_cov_quantile_0.75	0.0
best_identity_quantile_0.9	0.18756645401382244
best_query_cov_quantile_0.9	0.036818287156246784
