query_cov_threshold	identity_threshold	explained_reads	explained_fraction
0.3	0.7	194	0.04891578416540595
0.3	0.75	181	0.04563792233988906
0.3	0.8	166	0.041855774079677256
0.3	0.85	149	0.03756933938477055
0.3	0.9	120	0.030257186081694403
0.3	0.95	84	0.02118003025718608
0.35	0.7	154	0.038830055471507814
0.35	0.75	142	0.03580433686333838
0.35	0.8	130	0.03277861825516894
0.35	0.85	116	0.02924861321230459
0.35	0.9	90	0.0226928895612708
0.35	0.95	58	0.014624306606152295
0.4	0.7	126	0.03177004538577912
0.4	0.75	115	0.028996469994957134
0.4	0.8	104	0.026222894604135148
0.4	0.85	94	0.023701462430660614
0.4	0.9	73	0.018406454866364094
0.4	0.95	48	0.012102874432677761
0.45	0.7	100	0.025214321734745335
0.45	0.75	89	0.02244074634392335
0.45	0.8	79	0.019919314170448815
0.45	0.85	70	0.017650025214321734
0.45	0.9	53	0.013363590519415028
0.45	0.95	32	0.008068582955118508
0.5	0.7	78	0.019667170953101363
0.5	0.75	68	0.01714573877962683
0.5	0.8	60	0.015128593040847202
0.5	0.85	54	0.01361573373676248
0.5	0.9	42	0.01059001512859304
0.5	0.95	25	0.006303580433686334
0.55	0.7	67	0.016893595562279373
0.55	0.75	58	0.014624306606152295
0.55	0.8	51	0.012859304084720122
0.55	0.85	45	0.0113464447806354
0.55	0.9	37	0.009329299041855773
0.55	0.95	21	0.00529500756429652
0.6	0.7	60	0.015128593040847202
0.6	0.75	51	0.012859304084720122
0.6	0.8	45	0.0113464447806354
0.6	0.85	39	0.009833585476550681
0.6	0.9	33	0.00832072617246596
0.6	0.95	19	0.004790721129601614
0.65	0.7	41	0.010337871911245588
0.65	0.75	33	0.00832072617246596
0.65	0.8	27	0.00680786686838124
0.65	0.85	22	0.005547150781643974
0.65	0.9	16	0.004034291477559254
0.65	0.95	11	0.002773575390821987
0.7	0.7	32	0.008068582955118508
0.7	0.75	24	0.006051437216338881
0.7	0.8	18	0.0045385779122541605
0.7	0.85	14	0.0035300050428643467
0.7	0.9	9	0.0022692889561270802
0.7	0.95	5	0.0012607160867372667
0.75	0.7	24	0.006051437216338881
0.75	0.75	16	0.004034291477559254
0.75	0.8	10	0.0025214321734745334
0.75	0.85	8	0.002017145738779627
0.75	0.9	5	0.0012607160867372667
0.75	0.95	3	0.0007564296520423601
0.8	0.7	18	0.0045385779122541605
0.8	0.75	11	0.002773575390821987
0.8	0.8	5	0.0012607160867372667
0.8	0.85	3	0.0007564296520423601
0.8	0.9	3	0.0007564296520423601
0.8	0.95	2	0.0005042864346949068
0.85	0.7	8	0.002017145738779627
0.85	0.75	7	0.0017650025214321734
0.85	0.8	3	0.0007564296520423601
0.85	0.85	1	0.0002521432173474534
0.85	0.9	1	0.0002521432173474534
0.85	0.95	1	0.0002521432173474534
0.9	0.7	5	0.0012607160867372667
0.9	0.75	5	0.0012607160867372667
0.9	0.8	3	0.0007564296520423601
0.9	0.85	1	0.0002521432173474534
0.9	0.9	1	0.0002521432173474534
0.9	0.95	1	0.0002521432173474534
